codec,video,experiment,stage,loss,config,lr,lambda,bpp,psnr,lpips,dists,size_bytes,train_time_s
NVRC,Beauty_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.1_lr-1e-4_wd-saliency_s2,s2,wd-saliency,x1x144,1e-4,0.1,0.0023,32.9072,0.161,0.1291,952128,2266.5915
NVRC,Beauty_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.1_lr-1e-4_wd_s2,s2,wd,x1x144,1e-4,0.1,0.0024,32.8659,0.1599,0.1256,978624,1086.9614
NVRC,Beauty_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.2_lr-1e-4_l1_ms-ssim_s2,s2,baseline,x1x144,1e-4,0.2,0.0029,35.5349,0.2795,0.2457,1187872,701.2611
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.1_lr-1e-4_wd-saliency_s2,s2,wd-saliency,x1x144,1e-4,0.1,0.0055,31.7254,0.0997,0.0589,2274944,2129.2881
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.1_lr-1e-4_wd_s2,s2,wd,x1x144,1e-4,0.1,0.0055,31.4304,0.1041,0.0614,2296288,1116.2946
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.2_lr-1e-4_l1_ms-ssim_s2,s2,baseline,x1x144,1e-4,0.2,0.0064,33.6094,0.15,0.1259,2664512,702.0456
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.2_lr-1e-4_wd-saliency_s2,s2,wd-saliency,x1x144,1e-4,0.2,0.0081,33.5242,0.0729,0.0442,3352000,2110.1868
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.2_lr-1e-4_wd_s2,s2,wd,x1x144,1e-4,0.2,0.0083,33.5126,0.0755,0.0441,3435264,1167.89
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.3_lr-1e-4_l1_ms-ssim_s2,s2,baseline,x1x144,1e-4,0.3,0.0081,34.8045,0.1323,0.1142,3368640,706.8557
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.3_lr-1e-4_wd-saliency_s2,s2,wd-saliency,x1x144,1e-4,0.3,0.0102,34.3652,0.0658,0.0371,4228800,2098.7312
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.3_lr-1e-4_wd_s2,s2,wd,x1x144,1e-4,0.3,0.0104,34.4714,0.0642,0.0373,4329248,1182.3435
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.4_lr-1e-4_l1_ms-ssim_s2,s2,baseline,x1x144,1e-4,0.4,0.0096,35.4983,0.1223,0.1086,3978400,700.574
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.4_lr-1e-4_wd-saliency_s2,s2,wd-saliency,x1x144,1e-4,0.4,0.0121,35.2205,0.0591,0.0335,5034144,2140.8397
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.4_lr-1e-4_wd_s2,s2,wd,x1x144,1e-4,0.4,0.0124,35.0027,0.058,0.0335,5159680,1112.4568
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.5_lr-1e-4_l1_ms-ssim_s2,s2,baseline,x1x144,1e-4,0.5,0.0109,36.0496,0.1159,0.1042,4528832,739.5228
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.5_lr-1e-4_wd-saliency_s2,s2,wd-saliency,x1x144,1e-4,0.5,0.014,35.5657,0.0547,0.031,5793440,2097.4657
NVRC,Jockey_200,nvrc_uvg_hinerv-v2-xs_1920x1080_x1x144_lamb-0.5_lr-1e-4_wd_s2,s2,wd,x1x144,1e-4,0.5,0.0142,35.5366,0.0607,0.031,5887968,1103.3882
